a_x,a_y,a_z,g_x,g_y,g_z
0.424,0.625,-0.613,-142.761,-341.308,100.646
0.344,0.757,-0.492,-128.723,-38.085,48.95
0.498,0.671,-0.467,-152.038,-0.366,-96.984
0.521,0.782,-0.543,-63.781,-51.757,-108.459
0.56,0.798,-0.496,55.236,-8.972,-29.663
0.503,0.829,-0.549,138.122,-24.414,30.456
0.531,0.786,-0.432,116.577,51.208,83.923
0.486,0.642,-0.414,25.451,95.825,56.335
0.433,0.597,-0.385,-41.564,65.185,-38.696
0.525,0.643,-0.454,-72.143,-44.982,-78.674
0.549,0.732,-0.472,-58.227,-68.359,-51.513
0.617,0.772,-0.543,-22.949,-48.278,17.333
0.451,0.775,-0.49,38.452,3.234,24.291
0.487,0.748,-0.446,37.536,19.042,16.662
-0.103,1.001,0.116,1.159,1.525,0.122
-0.083,0.974,0.099,4.516,3.051,-1.708
-0.096,0.982,0.098,1.647,2.99,6.469
-0.11,0.949,0.107,-2.807,-3.417,-3.051
-0.16,0.691,0.061,-91.003,-240.295,32.592
-0.013,-0.045,-0.095,-48.339,-693.725,198.791
0.277,0.353,0.048,17.211,-53.222,286.621
0.23,0.351,0.035,59.875,54.321,-3.173
0.26,3.305,-0.297,1175.415,1166.748,-302.673
0.006,1.628,-0.367,-1038.696,-1999.999,524.902
-0.073,1.532,-0.164,42.236,1316.162,-108.459
0.131,0.769,0.114,-349.487,323.669,-160.949
0.211,0.333,0.041,-187.255,138.854,-196.838
0.235,0.272,0.13,73.425,134.277,-149.902
0.293,0.446,0.122,112.365,270.08,-71.228
0.261,0.766,0.087,289.428,233.764,-63.293
0.199,1.368,0.037,271.667,-12.756,2.319
0.249,1.99,-0.079,82.946,-70.678,5.249
0.272,1.411,0.032,-179.26,-108.154,42.419
0.16,0.759,0.065,-29.052,4.76,-50.842
0.052,0.979,-0.199,21.362,-0.427,2.441
0.074,0.967,-0.17,9.826,1.77,4.455
0.043,0.955,-0.22,1.22,0.0,-4.821
-0.189,0.678,0.0,-228.576,489.624,69.274
-0.304,-0.311,-0.271,-579.284,-89.172,10.62
0.126,0.162,-0.093,31.127,-186.706,31.372
-0.03,0.466,-0.198,519.958,-711.791,-648.193
0.551,0.506,0.941,-669.311,1946.899,-28.686
0.151,0.046,0.837,-688.232,319.152,-117.309
0.151,0.479,0.174,-552.307,1108.032,47.546
0.085,0.291,0.177,28.747,542.663,139.892
0.15,0.828,0.104,20.812,365.051,24.597
0.134,1.097,0.029,135.559,183.166,-138.244
0.317,1.416,0.025,10.314,63.537,-73.242
0.239,1.255,0.021,20.568,60.607,-136.596
0.287,0.891,0.058,-136.169,-184.997,-56.091
0.269,0.624,0.017,4.699,51.269,-40.527
0.241,0.72,0.088,83.923,197.082,-20.69
0.167,1.015,0.074,10.131,-193.298,7.507
0.379,1.233,-0.038,-33.63,175.598,45.471
0.039,0.99,-0.119,-1.037,2.624,-6.774
0.004,0.965,-0.098,-1.647,3.967,-1.403
0.002,0.91,-0.135,-17.7,5.371,27.526
0.331,-0.28,-0.62,-378.417,-1460.388,53.344
-0.126,0.087,-0.209,-471.13,-343.566,-296.936
0.231,2.385,-0.137,1067.443,1057.373,86.914
0.518,3.999,-0.143,989.99,430.541,-293.457
0.069,0.742,2.395,-380.004,1729.064,-170.837
0.158,1.369,-0.236,-4.394,483.337,66.894
0.304,1.128,-0.106,-5.92,-293.09,80.566
0.258,0.846,-0.113,-99.182,-474.182,81.237
0.294,0.791,-0.03,143.005,-41.748,144.104
0.183,1.755,0.32,61.157,-503.845,10.742
0.144,1.132,-0.1,-28.625,-389.099,169.006
0.152,0.901,0.041,-106.811,48.645,16.723
0.251,0.982,-0.037,13.0,-6.469,95.642
0.175,0.997,-0.026,26.184,-605.651,-52.368
-0.015,0.906,0.017,-38.574,-396.484,-1.953
0.237,1.058,0.002,88.806,19.836,37.048
0.181,0.936,0.05,87.524,16.235,-36.315
-0.021,0.984,-0.188,-1.098,0.122,-5.432
-0.044,1.044,-0.174,-53.649,-11.169,-13.183
-0.303,-0.428,-0.49,-226.135,-451.843,-63.171
-0.005,0.006,-0.204,-469.177,-504.516,-48.583
-0.193,1.076,-0.298,832.031,657.531,-19.592
0.847,3.999,-0.504,-105.59,-1577.392,338.256
-0.849,1.086,1.305,394.592,48.278,-24.719
-1.15,1.232,0.089,225.585,1451.599,-496.582
0.34,1.584,-0.186,-492.492,-224.914,-316.162
0.492,1.15,0.071,69.458,790.222,-5.371
0.153,0.594,0.06,76.538,535.4,-78.979
0.209,0.622,-0.011,-65.063,116.21,-9.399
0.351,1.015,-0.024,115.966,212.646,270.568
0.128,1.915,0.477,-64.147,363.342,-150.024
0.319,1.217,-0.014,-118.896,-24.23,12.451
0.243,0.855,0.0,-35.888,136.596,30.212
0.162,0.771,0.001,-9.216,63.354,2.441
